add_cm,add_pass,adds_cm,adds_pass,diam_cm,frame,obj,ok,rot_err,strategy,t_err_cm,time_ms,top_k
0.8798329329342118,True,0.22687415507106293,True,17.206263473805112,0000015.txt,ob_0000001,True,13.136487441026478,random,0.1578955351674504,4287.621259689331,252
0.38659654384851605,True,0.2949605346743737,True,19.646300871410883,0000000.txt,ob_0000005,True,2.708370493213976,random,0.332447843604437,4213.975191116333,252
0.3715691015475341,True,0.26312304730918645,True,19.646300871410883,0000001.txt,ob_0000005,True,2.889339625228624,random,0.2536846063597685,4236.5007400512695,252
0.36979489800182563,True,0.2387706627758425,True,19.646300871410883,0000002.txt,ob_0000005,True,2.7780919605164645,random,0.2992845098099171,4340.2650356292725,252
0.3383098441518173,True,0.23266767344439754,True,19.646300871410883,0000003.txt,ob_0000005,True,4.333380476091266,random,0.20812938859200814,4413.482666015625,252
0.2008672937303998,True,0.16057582630898914,True,19.646300871410883,0000004.txt,ob_0000005,True,2.3908042204396973,random,0.1537327153773646,4491.123914718628,252
0.18379331814913513,True,0.14501011693184518,True,19.646300871410883,0000005.txt,ob_0000005,True,1.472631477268824,random,0.13486287838374536,4596.188545227051,252
0.21115770803105616,True,0.17361659098292162,True,19.646300871410883,0000006.txt,ob_0000005,True,2.144593277201699,random,0.1467045372013066,4733.691692352295,252
0.13058823446230086,True,0.1170978199120072,True,19.646300871410883,0000007.txt,ob_0000005,True,1.6134832431962192,random,0.020695577167734326,4842.5023555755615,252
6.353056958650933,False,0.458638287210797,True,19.646300871410883,0000008.txt,ob_0000005,True,179.08365898513338,random,0.6687921172514872,4818.594455718994,252
0.27340519661364476,True,0.18871053733124418,True,19.646300871410883,0000009.txt,ob_0000005,True,3.412878504802245,random,0.18879782264090683,4744.964838027954,252
0.5354472789797693,True,0.29473391532692156,True,19.646300871410883,0000010.txt,ob_0000005,True,2.058074243071751,random,0.5084867528439828,4591.71724319458,252
0.4899801607238898,True,0.29857412848656617,True,19.646300871410883,0000011.txt,ob_0000005,True,2.7065918478438262,random,0.46474344764356773,4466.2628173828125,252
0.37479227803845505,True,0.25170889147996306,True,19.646300871410883,0000012.txt,ob_0000005,True,3.5877607462541925,random,0.28753270530786507,4422.130107879639,252
0.2717366468959022,True,0.21864905264765844,True,19.646300871410883,0000013.txt,ob_0000005,True,2.151416323486454,random,0.24694969000819642,4348.5870361328125,252
0.8029266591530702,True,0.3548871455269123,True,19.646300871410883,0000014.txt,ob_0000005,True,4.430451610668381,random,0.7743734016027704,4296.252012252808,252
0.3381769746574845,True,0.22746798658011352,True,19.646300871410883,0000015.txt,ob_0000005,True,2.745718189593647,random,0.19532567003838758,4286.664009094238,252
8.707057671093791,False,0.22626061341009562,True,16.19215796365636,0000000.txt,ob_0000013,True,93.64037190627673,random,0.3903401741550458,4219.209909439087,252
6.666739418869325,False,0.24737200756886632,True,16.19215796365636,0000001.txt,ob_0000013,True,67.8477795626477,random,0.3061780465657093,4223.010063171387,252
2.2867966884752544,False,0.2359900433143786,True,16.19215796365636,0000002.txt,ob_0000013,True,21.88368276183747,random,0.29094750321970636,4262.800693511963,252
9.956339870929401,False,0.44754665612482275,True,16.19215796365636,0000003.txt,ob_0000013,True,112.60406032994372,random,0.7252724506158524,4318.633317947388,252
10.976812979073081,False,0.2511305493059656,True,16.19215796365636,0000004.txt,ob_0000013,True,133.7087979183862,random,0.3612270423229587,4450.865268707275,252
11.921105091208942,False,0.33334475218800996,True,16.19215796365636,0000005.txt,ob_0000013,True,172.372052249681,random,0.4802524212497679,4455.096006393433,252
6.3417063950497985,False,0.43033678421902793,True,16.19215796365636,0000006.txt,ob_0000013,True,63.66814123353804,random,0.771218147760435,4583.8775634765625,252
4.29799276587788,False,0.27055880140533684,True,16.19215796365636,0000007.txt,ob_0000013,True,42.25309514701773,random,0.5725226442365106,4729.084730148315,252
3.608348979489806,False,0.22128474476388582,True,16.19215796365636,0000008.txt,ob_0000013,True,35.17753973757994,random,0.24814973970977736,4793.25795173645,252
7.557370899517705,False,0.28711567747630395,True,16.19215796365636,0000009.txt,ob_0000013,True,78.59879027709606,random,0.25809002792781877,4804.706335067749,252
8.014222590945534,False,0.2133685687564702,True,16.19215796365636,0000010.txt,ob_0000013,True,84.42357425434764,random,0.1751437727024363,4700.825214385986,252
0.7127831850532017,True,0.2991336457941067,True,16.19215796365636,0000011.txt,ob_0000013,True,6.475420205896375,random,0.3397430104808652,4547.8551387786865,252
6.524430770135141,False,0.2749428597197153,True,16.19215796365636,0000012.txt,ob_0000013,True,66.11194950573291,random,0.37420237980706317,4433.244943618774,252
11.721760785506023,False,0.3394405534445978,True,16.19215796365636,0000013.txt,ob_0000013,True,157.9226240064836,random,0.5243048164871893,4327.104330062866,252
11.929904867544057,False,0.22507707022037116,True,16.19215796365636,0000014.txt,ob_0000013,True,176.92517974810553,random,0.1414412157267637,4309.235334396362,252
